timestamp,hour,day,day_of_week,month,pm2_5,pm10,co,no2,o3,so2,nh3,temperature,humidity,pressure,wind_speed,aqi,aqi_change_rate
2026-08-13T06:05:02.187022+00:00,6,13,3,8,30.63,38.98,588.14,5.83,80.9,2.68,1.58,34.99,63,1002,1.54,90,0
2026-08-13T06:09:31.159653+00:00,6,13,3,8,30.63,38.98,588.14,5.83,80.9,2.68,1.58,34.99,63,1002,1.54,90,0.0
2026-08-13T07:43:59.350989+00:00,7,13,3,8,25.88,32.36,485.03,2.64,112.62,1.82,1.02,37.9,55,1001,0.72,80,-10.0
2026-08-13T11:13:20.566334+00:00,11,13,3,8,28.86,35.81,471,3.95,108.35,1.76,1.99,33.99,70,998,1.54,86,6.0
2026-08-13T15:32:23.231150+00:00,15,13,3,8,24.61,38.19,445.44,11.68,49.09,1.53,4.25,30.99,79,999,1.03,77,-9.0
2026-08-13T19:44:32.067249+00:00,19,13,3,8,28.32,51.32,389.17,11.01,34.32,1.31,3.3,29.99,79,1000,1.03,85,8.0
2026-08-13T22:24:26.588402+00:00,22,13,3,8,31.47,59.95,370.2,10.2,32.68,1.18,2.83,32.63,72,1000,2.48,92,7.0
